1499,13,38,358,173,1574,166,185,1,59,1,3,1416,1
2258,46,30,182,186,1791,186,102,106,36,1,40,1411,0
2940,34,42,312,175,1469,155,65,1,42,1,8,1213,0
3835,1,42,495,135,315,155,201,1,42,1,1,243,2
2768,1,42,579,155,1108,155,93,1,31,1,1,956,2
3134,1,32,209,155,1129,155,93,97,26,1,1,804,0
3367,1,42,358,155,661,155,102,126,49,1,1,438,1
4081,46,25,77,155,733,155,218,1,1,1,7,147,0
3326,25,42,129,158,1388,155,158,1,42,1,30,842,0
4177,46,42,182,155,743,155,42,1,1,1,1,351,6
3418,1,42,378,155,781,155,243,1,52,1,1,555,1
2714,9,37,182,174,1668,186,201,1,66,1,23,1250,6
4140,1,42,256,155,439,155,270,1,62,1,1,237,0
3622,1,42,579,155,690,155,65,66,20,1,1,555,3
3841,46,4,230,155,339,131,227,1,69,1,1,182,0
2471,1,42,325,155,1139,155,102,97,20,1,1,889,1
3186,1,42,537,155,1151,155,27,45,28,1,1,998,1
3450,1,42,325,155,690,155,49,1,28,1,1,456,1
2701,46,12,171,170,1481,155,158,1,32,1,40,1010,0
2858,1,42,590,155,1180,155,110,1,28,1,1,1070,2
2497,21,42,378,177,1592,171,243,1,56,1,1,1469,1
4055,37,28,298,155,514,136,65,1,39,1,1,273,0
2506,47,13,154,186,1802,186,355,357,72,1,80,1273,0
1,46,22,338,164,1191,155,42,1,1,1,6,926,6
2185,46,40,182,181,1752,186,158,1,56,1,54,1345,6
3889,1,42,579,155,753,155,16,1,31,1,1,617,2
3601,46,13,171,155,718,155,1,1,21,1,1,296,0
1,46,25,198,155,1104,155,93,1,1,1,19,740,0
3097,1,42,495,155,821,155,139,1,62,1,1,631,1
1,1,42,378,110,153,121,427,1,1,1,1,147,6
2817,1,42,401,155,700,155,185,1,1,1,1,499,2
3907,1,42,312,155,873,155,297,1,1,1,1,589,6
2661,46,22,202,155,1117,155,1,1,14,1,5,766,1
2448,46,28,266,175,1539,155,49,1,69,1,25,1247,6
3430,20,42,145,155,834,155,158,1,72,1,1,336,0
2506,46,28,198,172,1533,155,49,1,31,1,20,1142,0
2297,46,13,266,166,1011,155,16,1,1,1,13,679,0
3377,13,32,256,155,1093,155,42,1,1,1,1,807,0
2355,46,42,240,155,997,155,120,116,38,1,1,662,0
2430,46,32,240,186,1704,177,110,106,36,1,1,1440,1
1,1,35,444,156,1295,155,297,1,1,1,39,1136,4
1,1,42,444,112,234,149,130,1,1,1,1,188,6
3372,1,42,423,158,1295,155,185,172,36,1,1,1119,1
1508,46,35,175,186,1740,172,58,66,27,1,1,1273,0
3787,42,42,97,155,896,155,470,1,92,1,36,265,1
2401,46,12,154,186,1873,186,176,180,45,1,66,1361,0
2635,1,42,569,155,1329,155,201,1,59,1,1,1242,3
2661,46,42,171,155,1014,155,227,1,69,1,22,535,0
3782,1,42,171,155,661,155,355,1,1,1,1,273,6
1743,21,42,444,165,1469,157,93,1,1,1,1,1298,1
3321,1,38,202,155,682,155,83,82,24,1,1,343,6
3008,46,19,65,174,1457,155,83,73,38,1,1,631,0
2506,46,2,149,155,896,155,65,59,27,1,1,336,0
2460,46,15,166,186,1752,168,218,1,1,1,1,1254,1
1,46,42,202,155,889,155,93,1,1,1,7,429,0
3117,1,42,256,155,1251,155,270,1,1,1,1,973,1
3588,43,22,77,155,1151,155,167,172,36,1,1,465,0
2278,12,32,312,158,1346,155,27,1,31,1,7,1094,2
3557,1,42,401,155,686,155,83,88,30,1,1,478,6
3687,46,42,198,155,331,117,110,97,28,1,1,153,0
2300,1,42,358,155,1081,155,185,172,63,1,1,837,0
3475,1,42,464,155,646,155,158,1,32,1,1,472,1
3504,46,42,162,155,399,143,149,155,61,1,1,147,0
3608,1,42,325,155,471,155,229,224,47,1,1,281,0
3563,46,32,218,155,710,155,218,1,59,1,1,377,0
1818,46,42,175,174,1621,168,65,73,40,1,19,1163,1
3236,1,42,125,155,514,155,158,1,36,1,1,153,0
3183,28,30,423,155,1176,155,49,1,31,1,4,979,1
2817,46,42,187,177,1680,179,291,292,70,1,1,1286,0
